#GISTEMP Team, 2018: GISS Surface Temperature Analysis (GISTEMP). NASA Goddard Institute for Space
#Studies. Dataset accessed 2018-07-03 at https://data.giss.nasa.gov/gistemp/
#Land-Ocean: Global Means, relative to 1951-1980
#Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.29,-.18,-.11,-.20,-.12,-.23,-.21,-.09,-.16,-.23,-.20,-.23,-.19,***,***,-.14,-.18,-.20
1881,-.15,-.17,.04,.04,.02,-.20,-.07,-.02,-.14,-.21,-.22,-.11,-.10,-.11,-.18,.03,-.10,-.19
1882,.14,.15,.04,-.19,-.16,-.26,-.21,-.05,-.10,-.25,-.16,-.24,-.11,-.10,.06,-.10,-.17,-.17
1883,-.31,-.39,-.13,-.17,-.20,-.13,-.08,-.15,-.20,-.14,-.22,-.16,-.19,-.20,-.32,-.17,-.12,-.19
1884,-.15,-.08,-.37,-.43,-.37,-.41,-.34,-.26,-.27,-.24,-.30,-.29,-.29,-.28,-.13,-.39,-.34,-.27
1885,-.59,-.30,-.25,-.42,-.42,-.44,-.36,-.31,-.24,-.19,-.19,-.05,-.31,-.33,-.39,-.36,-.37,-.21
1886,-.42,-.45,-.38,-.28,-.26,-.39,-.22,-.34,-.26,-.28,-.31,-.26,-.32,-.30,-.31,-.31,-.31,-.28
1887,-.73,-.52,-.34,-.39,-.32,-.24,-.23,-.32,-.22,-.33,-.23,-.34,-.35,-.34,-.50,-.35,-.26,-.26
1888,-.38,-.36,-.41,-.22,-.22,-.18,-.10,-.16,-.10,.02,.01,-.07,-.18,-.20,-.36,-.29,-.15,-.02
1889,-.11,.18,.08,.07,-.03,-.14,-.10,-.20,-.22,-.23,-.33,-.30,-.11,-.09,.00,.04,-.15,-.26
1890,-.44,-.45,-.40,-.37,-.46,-.27,-.27,-.38,-.39,-.24,-.48,-.30,-.37,-.37,-.40,-.41,-.31,-.37
1891,-.42,-.47,-.18,-.28,-.19,-.21,-.21,-.16,-.13,-.21,-.34,-.04,-.24,-.26,-.40,-.22,-.19,-.23
1892,-.28,-.12,-.35,-.35,-.25,-.24,-.33,-.25,-.13,-.13,-.42,-.39,-.27,-.24,-.15,-.32,-.27,-.22
1893,-.80,-.54,-.24,-.30,-.36,-.28,-.16,-.26,-.20,-.17,-.16,-.35,-.32,-.32,-.58,-.30,-.24,-.18
1894,-.53,-.33,-.24,-.48,-.35,-.44,-.26,-.22,-.25,-.21,-.25,-.20,-.31,-.33,-.40,-.36,-.31,-.23
1895,-.44,-.42,-.28,-.24,-.27,-.24,-.18,-.16,-.09,-.08,-.15,-.16,-.23,-.23,-.35,-.27,-.19,-.11
1896,-.26,-.14,-.26,-.31,-.18,-.14,-.04,-.04,-.03,.11,-.08,-.04,-.12,-.13,-.19,-.25,-.07,.00
1897,-.15,-.15,-.13,-.03,-.05,-.17,-.07,-.11,-.08,-.13,-.19,-.19,-.12,-.11,-.11,-.07,-.12,-.13
1898,-.03,-.29,-.52,-.34,-.32,-.21,-.24,-.25,-.21,-.34,-.39,-.25,-.28,-.28,-.17,-.39,-.23,-.31
1899,-.19,-.41,-.34,-.21,-.24,-.34,-.18,-.07,-.03,-.06,.11,-.28,-.19,-.18,-.28,-.26,-.20,.01
1900,-.38,-.03,.01,-.13,-.11,-.13,-.13,-.11,-.05,.08,-.10,-.07,-.10,-.11,-.23,-.08,-.12,-.02
1901,-.24,-.04,.08,-.04,-.17,-.13,-.16,-.20,-.22,-.31,-.17,-.28,-.16,-.14,-.12,-.04,-.16,-.24
1902,-.19,-.03,-.29,-.30,-.35,-.35,-.30,-.33,-.29,-.29,-.39,-.46,-.30,-.28,-.17,-.31,-.32,-.32
1903,-.25,-.04,-.24,-.42,-.44,-.46,-.37,-.49,-.48,-.49,-.45,-.52,-.39,-.38,-.25,-.37,-.44,-.47
1904,-.67,-.58,-.50,-.55,-.56,-.51,-.54,-.50,-.53,-.39,-.21,-.35,-.49,-.50,-.59,-.54,-.52,-.38
1905,-.39,-.59,-.23,-.36,-.33,-.30,-.30,-.22,-.18,-.25,-.10,-.18,-.29,-.30,-.44,-.30,-.27,-.18
1906,-.28,-.30,-.16,-.04,-.24,-.21,-.25,-.20,-.27,-.19,-.39,-.16,-.23,-.23,-.26,-.15,-.22,-.28
1907,-.41,-.51,-.27,-.39,-.47,-.44,-.37,-.35,-.33,-.24,-.48,-.48,-.40,-.37,-.36,-.38,-.38,-.35
1908,-.44,-.31,-.54,-.46,-.41,-.42,-.40,-.46,-.36,-.45,-.50,-.49,-.44,-.43,-.41,-.47,-.43,-.43
1909,-.69,-.47,-.51,-.60,-.56,-.53,-.45,-.31,-.35,-.37,-.30,-.55,-.47,-.47,-.55,-.56,-.43,-.34
1910,-.44,-.44,-.51,-.41,-.35,-.38,-.35,-.36,-.36,-.38,-.54,-.66,-.43,-.42,-.48,-.42,-.36,-.43
1911,-.63,-.58,-.60,-.53,-.52,-.48,-.41,-.42,-.38,-.23,-.18,-.22,-.43,-.47,-.63,-.55,-.44,-.26
1912,-.26,-.12,-.35,-.20,-.22,-.26,-.44,-.55,-.51,-.57,-.38,-.43,-.36,-.34,-.20,-.25,-.42,-.48
1913,-.41,-.43,-.43,-.39,-.47,-.49,-.36,-.34,-.36,-.34,-.19,-.03,-.35,-.39,-.43,-.43,-.40,-.29
1914,.04,-.11,-.22,-.29,-.23,-.27,-.24,-.14,-.13,-.04,-.18,-.08,-.16,-.15,-.03,-.25,-.22,-.12
1915,-.17,.00,-.09,.06,-.06,-.20,-.10,-.20,-.16,-.24,-.12,-.16,-.12,-.11,-.08,-.03,-.17,-.18
